지점명,일시,강수량(mm)
대전,2020-01-06,10.3
대전,2020-01-07,57
대전,2020-01-08,2.4
대전,2020-01-22,0.7
대전,2020-01-23,0.6
대전,2020-01-27,7.5
대전,2020-02-04,0.7
대전,2020-02-05,0.1
대전,2020-02-12,15.8
대전,2020-02-13,0.1
대전,2020-02-15,1.5
대전,2020-02-16,8.4
대전,2020-02-17,0.7
대전,2020-02-18,0.1
대전,2020-02-21,2.3
대전,2020-02-22,1.2
대전,2020-02-24,0.4
대전,2020-02-25,55.3
대전,2020-02-28,4.6
대전,2020-03-09,1.6
대전,2020-03-10,8.8
대전,2020-03-26,1.4
대전,2020-03-27,12.6
대전,2020-04-12,1.3
대전,2020-04-17,4
대전,2020-04-18,0.1
대전,2020-04-19,12.4
대전,2020-05-03,6.5
대전,2020-05-05,1.4
대전,2020-05-08,7.4
대전,2020-05-09,17.9
대전,2020-05-10,0.1
대전,2020-05-12,0.2
대전,2020-05-15,24.9
대전,2020-05-18,7.6
대전,2020-05-19,3.3
대전,2020-05-22,8.3
대전,2020-05-24,2.8
대전,2020-06-01,0.6
대전,2020-06-06,3.4
대전,2020-06-10,58.7
대전,2020-06-11,27.7
대전,2020-06-12,3.6
대전,2020-06-13,19.6
대전,2020-06-14,0.8
대전,2020-06-18,0.7
대전,2020-06-20,0.1
대전,2020-06-24,7.3
대전,2020-06-25,3.9
대전,2020-06-26,0.1
대전,2020-06-29,41.5
대전,2020-06-30,24.5
대전,2020-07-01,0.2
대전,2020-07-03,1
대전,2020-07-06,0.2
대전,2020-07-07,0.2
대전,2020-07-10,9.5
대전,2020-07-12,43.8
대전,2020-07-13,117.9
대전,2020-07-14,6.1
대전,2020-07-15,9.3
대전,2020-07-19,7.2
대전,2020-07-20,20.2
대전,2020-07-22,25.1
대전,2020-07-23,52.8
대전,2020-07-24,13.5
대전,2020-07-25,2.6
대전,2020-07-26,0.4
대전,2020-07-27,2.6
대전,2020-07-28,6.6
대전,2020-07-29,67.9
대전,2020-07-30,141.3
대전,2020-07-31,16.5
대전,2020-08-01,17.5
대전,2020-08-02,5.4
대전,2020-08-03,1.4
대전,2020-08-04,18.5
대전,2020-08-05,24.4
대전,2020-08-06,24
대전,2020-08-07,34.9
대전,2020-08-08,42.9
대전,2020-08-09,32.1
대전,2020-08-10,17.5
대전,2020-08-11,59.3
대전,2020-08-12,17.5
대전,2020-08-14,0.6
대전,2020-08-22,11.8
대전,2020-08-26,1.6
대전,2020-08-27,1
대전,2020-08-28,27.4
대전,2020-08-29,15.3
대전,2020-08-30,8.4
대전,2020-08-31,0.1
대전,2020-09-02,26.2
대전,2020-09-03,61.8
대전,2020-09-06,22.8
대전,2020-09-07,29
대전,2020-09-08,0.2
대전,2020-09-09,9.9
대전,2020-09-11,3
대전,2020-09-12,11.7
대전,2020-09-15,0.1
대전,2020-09-16,4.8
대전,2020-09-19,4.1
대전,2020-10-03,2.1
대전,2020-10-04,0.7
대전,2020-10-12,0.4
대전,2020-11-01,3.7
대전,2020-11-03,0.3
대전,2020-11-06,0.3
대전,2020-11-17,1
대전,2020-11-18,3.6
대전,2020-11-19,28.5
대전,2020-11-22,4.4
대전,2020-12-13,1.6
대전,2020-12-29,2.5
대전,2021-01-01,2.1
대전,2021-01-05,0.1
대전,2021-01-06,2.2
대전,2021-01-07,1.5
대전,2021-01-12,1.3
대전,2021-01-18,3.3
대전,2021-01-21,4.6
대전,2021-01-22,2.9
대전,2021-01-26,4
대전,2021-01-28,1.6
대전,2021-02-01,8.1
대전,2021-02-03,0.1
대전,2021-02-04,0.5
대전,2021-02-14,1
대전,2021-02-15,0.5
대전,2021-02-16,3.4
대전,2021-02-17,0.1
대전,2021-02-18,0.4
대전,2021-03-01,50.8
대전,2021-03-02,0.2
대전,2021-03-04,3
대전,2021-03-12,12.2
대전,2021-03-20,6.7
대전,2021-03-27,20.5
대전,2021-03-28,1.8
대전,2021-04-03,22
대전,2021-04-04,6.8
대전,2021-04-12,15.3
대전,2021-04-13,1.8
대전,2021-04-23,0.1
대전,2021-04-28,0.1
대전,2021-04-29,0.7
대전,2021-04-30,0.6
대전,2021-05-01,1.4
대전,2021-05-02,2.6
대전,2021-05-04,5.2
대전,2021-05-05,2.3
대전,2021-05-07,2.6
대전,2021-05-10,11.1
대전,2021-05-11,2.9
대전,2021-05-15,1.7
대전,2021-05-16,43.7
대전,2021-05-17,3.3
대전,2021-05-20,13
대전,2021-05-21,0.1
대전,2021-05-25,1.5
대전,2021-05-27,1
대전,2021-05-28,30.2
대전,2021-05-30,4.5
대전,2021-05-31,7.1
대전,2021-06-03,24.2
대전,2021-06-04,1.2
대전,2021-06-10,1.6
대전,2021-06-11,12.6
대전,2021-06-15,1.9
대전,2021-06-17,0.1
대전,2021-06-18,1.4
대전,2021-06-23,6.7
대전,2021-06-25,5.2
대전,2021-06-26,22
대전,2021-06-27,0.5
대전,2021-06-29,24.2
대전,2021-06-30,4.3
대전,2021-07-03,42.2
대전,2021-07-04,13.7
대전,2021-07-05,5.6
대전,2021-07-06,15.6
대전,2021-07-07,2.5
대전,2021-07-08,38.6
대전,2021-07-09,4.2
대전,2021-07-10,10
대전,2021-07-11,0.2
대전,2021-07-16,1.3
대전,2021-07-18,16.5
대전,2021-07-31,1.4
대전,2021-08-01,19.8
대전,2021-08-02,34
대전,2021-08-03,5.1
대전,2021-08-04,0.1
대전,2021-08-05,0.7
대전,2021-08-06,11.1
대전,2021-08-10,7.8
대전,2021-08-14,0.3
대전,2021-08-17,0.1
대전,2021-08-18,1.1
대전,2021-08-19,3.2
대전,2021-08-21,44.9
대전,2021-08-22,0.7
대전,2021-08-23,65
대전,2021-08-24,25.2
대전,2021-08-25,22.7
대전,2021-08-27,16.6
대전,2021-08-29,28.3
대전,2021-08-30,0.1
대전,2021-08-31,2.4
대전,2021-09-01,52.4
대전,2021-09-05,0.3
대전,2021-09-06,32.2
대전,2021-09-07,6.7
대전,2021-09-08,0.1
대전,2021-09-17,5
대전,2021-09-21,34.3
대전,2021-09-22,10.2
대전,2021-09-27,0.2
대전,2021-09-28,0.7
대전,2021-09-29,19.1
대전,2021-10-02,0.2
대전,2021-10-07,3.4
대전,2021-10-10,5.1
대전,2021-10-11,13.5
대전,2021-10-12,0.5
대전,2021-10-15,9.7
대전,2021-10-16,4.8
대전,2021-10-19,3.6
대전,2021-11-04,0.5
대전,2021-11-08,10.3
대전,2021-11-09,2.8
대전,2021-11-10,3
대전,2021-11-12,0.6
대전,2021-11-22,3.6
대전,2021-11-23,0.2
대전,2021-11-30,20.7
대전,2021-12-02,0.1
대전,2021-12-03,1.6
대전,2021-12-04,0.1
대전,2021-12-10,1.5
대전,2021-12-15,0.1
대전,2021-12-18,0.1
대전,2021-12-19,0.4
대전,2021-12-30,0.5
대전,2022-01-11,0.3
대전,2022-01-13,0.4
대전,2022-01-25,0.2
대전,2022-01-31,0.3
대전,2022-02-26,1.4
대전,2022-03-01,0.6
대전,2022-03-13,24.6
대전,2022-03-14,3.2
대전,2022-03-17,5.8
대전,2022-03-18,3.9
대전,2022-03-19,12.9
대전,2022-03-25,9.1
대전,2022-03-26,13.7
대전,2022-03-30,0.2
대전,2022-04-07,0.7
대전,2022-04-13,29
대전,2022-04-14,2.2
대전,2022-04-25,6.7
대전,2022-04-26,21.3
대전,2022-04-29,9.8
대전,2022-05-08,0.9
대전,2022-05-09,2.7
대전,2022-05-26,4.5
대전,2022-06-05,6.2
대전,2022-06-06,2.8
대전,2022-06-08,0.2
대전,2022-06-14,6.3
대전,2022-06-15,36.5
대전,2022-06-23,29.6
대전,2022-06-24,10.7
대전,2022-06-26,0.2
대전,2022-06-27,3.6
대전,2022-06-29,18.6
대전,2022-06-30,2.9
대전,2022-07-03,38.7
대전,2022-07-07,3.2
대전,2022-07-08,0.9
대전,2022-07-10,7.8
대전,2022-07-11,16.3
대전,2022-07-13,10.6
대전,2022-07-14,0.5
대전,2022-07-18,57.4
대전,2022-07-21,13.7
대전,2022-07-23,17.6
대전,2022-07-24,2.3
대전,2022-07-25,0.4
대전,2022-07-31,25.6
대전,2022-08-01,4.4
대전,2022-08-02,1.1
대전,2022-08-05,3.5
대전,2022-08-09,1.4
대전,2022-08-10,192.9
대전,2022-08-11,58.2
대전,2022-08-12,0.1
대전,2022-08-13,24
대전,2022-08-14,6.5
대전,2022-08-15,7
대전,2022-08-16,32.9
대전,2022-08-17,8.2
대전,2022-08-20,83.6
대전,2022-08-23,30.2
대전,2022-08-24,0.2
대전,2022-08-29,4.5
대전,2022-08-30,30.2
대전,2022-08-31,7.2
대전,2022-09-04,0.1
대전,2022-09-05,46.5
대전,2022-09-06,41.7
대전,2022-09-12,1.6
대전,2022-09-16,0.3
대전,2022-10-02,1
대전,2022-10-03,26.3
대전,2022-10-04,43.5
대전,2022-10-09,17.1
대전,2022-10-10,1.4
대전,2022-11-12,3.3
대전,2022-11-13,2.5
대전,2022-11-15,1.7
대전,2022-11-16,1.3
대전,2022-11-22,0.2
대전,2022-11-28,30.1
대전,2022-11-29,6.7
대전,2022-12-06,0.3
대전,2022-12-13,4.9
대전,2022-12-15,1.6
대전,2022-12-17,0.9
대전,2022-12-21,5.8
대전,2022-12-22,1.1
대전,2022-12-23,0.1
대전,2023-01-06,2.1
대전,2023-01-07,0.7
대전,2023-01-13,21.6
대전,2023-01-14,2.6
대전,2023-01-15,0.5
대전,2023-01-20,0.2
대전,2023-01-26,0.7
